seed=0l; %0=95.000000; %1=90.250000; %2=85.737503
iteration,% infected sim 0,% infected sim 1,% infected sim 2
446,0.089000,0.127000,0.521000
447,0.089000,0.128000,0.524000
448,0.089000,0.128000,0.527000
449,0.090000,0.129000,0.528000
450,0.090000,0.131000,0.532000
451,0.090000,0.133000,0.537000
452,0.090000,0.133000,0.538000
453,0.090000,0.134000,0.541000
454,0.091000,0.134000,0.545000
455,0.092000,0.137000,0.546000
456,0.093000,0.139000,0.548000
457,0.093000,0.140000,0.548000
458,0.093000,0.140000,0.550000
459,0.093000,0.141000,0.553000
460,0.094000,0.142000,0.555000
461,0.095000,0.143000,0.555000
462,0.095000,0.145000,0.559000
463,0.095000,0.145000,0.564000
464,0.095000,0.146000,0.565000
465,0.095000,0.147000,0.567000
466,0.095000,0.148000,0.569000
467,0.095000,0.149000,0.571000
468,0.096000,0.149000,0.572000
469,0.097000,0.149000,0.572000
470,0.097000,0.152000,0.577000
471,0.098000,0.153000,0.580000
472,0.099000,0.155000,0.582000
473,0.099000,0.155000,0.583000
474,0.099000,0.156000,0.588000
475,0.099000,0.156000,0.589000
476,0.100000,0.158000,0.589000
477,0.100000,0.159000,0.590000
478,0.100000,0.160000,0.594000
479,0.101000,0.163000,0.597000
480,0.103000,0.165000,0.600000
481,0.103000,0.166000,0.602000
482,0.103000,0.168000,0.605000
483,0.103000,0.168000,0.607000
484,0.103000,0.168000,0.609000
485,0.103000,0.170000,0.611000
486,0.105000,0.172000,0.615000
487,0.106000,0.173000,0.618000
488,0.106000,0.175000,0.619000
489,0.106000,0.175000,0.619000
490,0.107000,0.176000,0.622000
491,0.107000,0.177000,0.623000
492,0.107000,0.181000,0.623000
493,0.107000,0.184000,0.625000
494,0.107000,0.185000,0.629000
495,0.108000,0.186000,0.633000
496,0.108000,0.186000,0.638000
497,0.108000,0.187000,0.640000
498,0.109000,0.187000,0.642000
499,0.110000,0.188000,0.643000
500,0.111000,0.190000,0.647000
501,0.112000,0.191000,0.653000
502,0.113000,0.193000,0.656000
503,0.114000,0.194000,0.662000
504,0.114000,0.195000,0.666000
505,0.115000,0.197000,0.669000
506,0.115000,0.197000,0.672000
507,0.116000,0.197000,0.674000
508,0.116000,0.198000,0.676000
509,0.117000,0.198000,0.682000
510,0.118000,0.200000,0.686000
511,0.118000,0.202000,0.690000
512,0.118000,0.202000,0.692000
513,0.118000,0.206000,0.693000
514,0.118000,0.207000,0.694000
515,0.118000,0.208000,0.695000
516,0.118000,0.208000,0.697000
517,0.118000,0.208000,0.700000
518,0.119000,0.210000,0.702000
519,0.119000,0.212000,0.704000
520,0.119000,0.212000,0.705000
521,0.120000,0.214000,0.706000
522,0.120000,0.217000,0.708000
523,0.120000,0.224000,0.709000
524,0.121000,0.225000,0.709000
525,0.122000,0.225000,0.713000
526,0.123000,0.229000,0.714000
527,0.124000,0.230000,0.716000
528,0.125000,0.231000,0.716000
529,0.125000,0.233000,0.717000
530,0.125000,0.234000,0.720000
531,0.125000,0.234000,0.722000
532,0.126000,0.234000,0.723000
533,0.127000,0.235000,0.723000
534,0.127000,0.237000,0.727000
535,0.127000,0.238000,0.729000
536,0.127000,0.241000,0.731000
537,0.128000,0.245000,0.731000
538,0.128000,0.247000,0.733000
539,0.129000,0.249000,0.735000
540,0.131000,0.249000,0.736000
541,0.131000,0.249000,0.736000
542,0.132000,0.249000,0.737000
543,0.132000,0.249000,0.738000
544,0.133000,0.250000,0.739000
545,0.133000,0.250000,0.741000
546,0.134000,0.252000,0.741000
